Category,Sample_Name,PC1,PC2,PC3
Conroy,Conroy__Figure 1__Figure1_1079,7.1147056128814645,3.3370735836566223,2.057330060083293
Conroy,Conroy__Figure 1__Figure1_1257,6.303760520764772,2.7955949221271954,1.3965389503287968
Conroy,Conroy__Figure 1__Figure1_1282,6.643571751792311,3.110814768158631,1.576983374136621
Conroy,Conroy__Figure 1__Figure1_1419,6.014139231170505,2.7369273097649853,1.2106640661317583
Conroy,Conroy__Figure 1__Figure1_1688,6.553432881679172,1.2339083991803979,4.127673521066046
Conroy,Conroy__Figure 1__Figure1_1704,6.198842439795298,-0.9554427788045858,3.1298546060829917
Conroy,Conroy__Figure 1__Figure1_1743,5.359023131167087,0.27397866941817595,-0.0058137825669035935
Conroy,Conroy__Figure 1__Figure1_1809,5.52591548581473,0.11040170778148911,-0.11429197507818681
Conroy,Conroy__Figure 1__Figure1_1866,6.170511514405811,-1.1035454802505666,3.206256869020771
Conroy,Conroy__Figure 1__Figure1_1905,-4.480902332658127,-7.050447862179174,-7.227820842014582
Conroy,Conroy__Figure 1__Figure1_1976,5.6569364973078144,0.3123721888034249,0.3282754540260614
Conroy,Conroy__Figure 1__Figure1_2174,5.9065307954876625,-1.7420844522217418,3.2420928115742567
Conroy,Conroy__Figure 1__Figure1_2320,-14.980464685270096,-0.9349001811172069,-17.305878716309152
Conroy,Conroy__Figure 2__Figure2_1581,2.136440405596074,11.305288977644816,2.146002100625453
Conroy,Conroy__Figure 2__Figure2_1743,5.359023131167087,0.2739786694181777,-0.0058137825668942485
Conroy,Conroy__Figure 2__Figure2_1891,1.365227103585675,12.539864948609122,2.0273782206701862
Conroy,Conroy__Figure 2__Figure2_1905,-4.480902332658127,-7.050447862179174,-7.227820842014582
Conroy,Conroy__Figure 2__Figure2_2320,-14.980464685270096,-0.9349001811172069,-17.30587871630916
Conroy,Conroy__Figure 2__Figure2_2539,-19.454557523858906,8.932418242183372,-16.24190147174386
Conroy,Conroy__Figure 3__Figure3_1581,2.136440405596074,11.305288977644816,2.146002100625453
Conroy,Conroy__Figure 3__Figure3_1743,5.312159094564798,0.2262490261484231,-0.0518375678274536
Conroy,Conroy__Figure 3__Figure3_1891,1.365227103585675,12.53986494860912,2.0273782206701862
Conroy,Conroy__Figure 3__Figure3_1905,-4.480902332658127,-7.050447862179175,-7.227820842014582
Conroy,Conroy__Figure 3__Figure3_2320,-14.980464685270096,-0.9349001811172069,-17.30587871630916
Conroy,Conroy__Figure 3__Figure3_2539,-19.454557523858906,8.932418242183372,-16.24190147174386
Conroy,Conroy__Figure 4__Figure4_2320,-14.980464685270096,-0.9349001811172069,-17.30587871630916
Conroy,Conroy__Figure 5__Figure5_1663,5.725664276162749,0.4249715418682857,0.24583576023964618
Conroy,Conroy__Figure 5__Figure5_1866,6.170511514405811,-1.1035454802505664,3.206256869020772
Conroy,Conroy__Figure 5__Figure5_1891,1.365227103585675,12.53986494860912,2.0273782206701862
Conroy,Conroy__Figure 5__Figure5_2174,5.9065307954876625,-1.7420844522217418,3.2420928115742567
Conroy,Conroy__Figure 6__Figure6_1850,6.047369743651274,-1.4406195233541625,3.1227014437646865
Nyalwidhe,Nyalwidhe__aggressive PCA_EPS_exosomes__3242,-4.694565119561421,-7.324136464059122,-7.035217542541684
Nyalwidhe,Nyalwidhe__aggressive PCA_EPS_exosomes__4227,-32.36591533001001,3.401150594611673,0.23368599454250688
Nyalwidhe,Nyalwidhe__aggressive PCA_EPS_exosomes__4414,-32.86746001823332,10.742354216887858,5.731107227453702
Nyalwidhe,Nyalwidhe__aggressive PCA_EPS_exosomes__4588,-38.04058982005971,11.574709988211577,5.819822798882544
Nyalwidhe,Nyalwidhe__direct EPS_aggresive PCA__2606,5.454055830505637,-0.009835321549792863,-0.025588552440246968
Nyalwidhe,Nyalwidhe__direct EPS_BRC_G7 PCA__3242,-4.694565119561421,-7.324136464059122,-7.035217542541684
Nyalwidhe,Nyalwidhe__direct EPS_indolent PCA__2967,5.339052657306847,-0.13721021947562667,0.06330139760659821
Nyalwidhe,Nyalwidhe__direct EPS_indolent PCA__3416,-6.407883822775186,-8.898722606595797,-8.408655803140892
Nyalwidhe,Nyalwidhe__direct EPS_indolent PCA__3603,-15.609877067962666,-12.078806325124095,7.057200435389589
Nyalwidhe,Nyalwidhe__direct EPS_indolent PCA__3778,-18.62576314617316,-14.278629761397243,7.419854874973236
Nyalwidhe,Nyalwidhe__direct EPS_indolent PCA__4227,-32.36591533001001,3.401150594611673,0.23368599454250688
Nyalwidhe,Nyalwidhe__direct EPS_indolent PCA__4588,-38.04058982005971,11.574709988211577,5.819822798882544
Nyalwidhe,Nyalwidhe__direct EPS_NED_G7 PCA__2739,5.549199712840516,0.19413869733778627,0.4116133080952663
Nyalwidhe,Nyalwidhe__indolent PCA_EPS_exosomes__1783,6.014139231170509,2.736927309764983,1.2106640661317558
Nyalwidhe,Nyalwidhe__indolent PCA_EPS_exosomes__2271,5.955299213166487,-1.1368500399169943,3.077450121128389
Nyalwidhe,Nyalwidhe__NC_EPS_exosomes__2432,5.6569364973078144,0.31237218880342493,0.32827545402606145
Nyalwidhe,Nyalwidhe__NC_EPS_exosomes__2793,5.549199712840516,0.19413869733778627,0.4116133080952663
